model,class,psnr,ssim,fsim,lpips
SharpXR,Bacterial,35.07086606212043,0.9239384531974792,0.9306626915931702,0.28837430477142334
SharpXR,Bacterial,35.22767468007463,0.929145872592926,0.9321291446685791,0.2561117708683014
SharpXR,Bacterial,33.48357530384598,0.8939510583877563,0.9169753193855286,0.2446591556072235
SharpXR,Bacterial,32.65118845219335,0.890643298625946,0.9148923754692078,0.27136117219924927
SharpXR,Bacterial,31.81024900925731,0.8763061165809631,0.9112603068351746,0.20352566242218018
SharpXR,Bacterial,33.5178133657152,0.8945050239562988,0.9114394187927246,0.28670796751976013
SharpXR,Bacterial,34.001886390071824,0.9010729193687439,0.919532299041748,0.27475595474243164
SharpXR,Bacterial,34.001687557516654,0.9101808071136475,0.9254823923110962,0.23966261744499207
SharpXR,Bacterial,34.96631643937976,0.9050900340080261,0.9207702875137329,0.25944918394088745
SharpXR,Bacterial,33.97522638386074,0.8903218507766724,0.9084912538528442,0.29963794350624084
SharpXR,Bacterial,32.93616062781898,0.8919989466667175,0.9125515222549438,0.27038586139678955
SharpXR,Bacterial,34.28638283816987,0.9103510975837708,0.9199150800704956,0.26647090911865234
SharpXR,Bacterial,32.173791764179846,0.8887425661087036,0.9087471961975098,0.32223600149154663
SharpXR,Bacterial,35.22924735351464,0.9192802309989929,0.9233916401863098,0.2926408052444458
SharpXR,Bacterial,33.14945569878917,0.909623920917511,0.9257950782775879,0.2502582371234894
SharpXR,Bacterial,33.09653967596863,0.8817184567451477,0.9150001406669617,0.2912752032279968
SharpXR,Bacterial,34.7974801800044,0.9200339317321777,0.9285148978233337,0.23931509256362915
SharpXR,Bacterial,33.56419822178918,0.8977910876274109,0.91395103931427,0.2516520023345947
SharpXR,Bacterial,35.10034941295663,0.9227238297462463,0.9289543032646179,0.27820372581481934
SharpXR,Bacterial,33.724297236408034,0.9045917987823486,0.9190202951431274,0.2716391384601593
SharpXR,Bacterial,33.05634700956953,0.889996349811554,0.9165546894073486,0.23350444436073303
SharpXR,Bacterial,35.31578260346714,0.9269930124282837,0.9338134527206421,0.2559410035610199
SharpXR,Bacterial,34.27227368264597,0.9146560430526733,0.929070234298706,0.2461184710264206
SharpXR,Bacterial,33.322615217386605,0.9105424284934998,0.9263941049575806,0.243341863155365
SharpXR,Bacterial,34.74532418332827,0.9229011535644531,0.9321444034576416,0.24774685502052307
SharpXR,Bacterial,34.00143251886006,0.9142401218414307,0.929423987865448,0.2629626393318176
SharpXR,Bacterial,31.603955968541012,0.870254397392273,0.8982722163200378,0.281113862991333
SharpXR,Bacterial,32.08038960292484,0.8825265169143677,0.9086704254150391,0.287703275680542
SharpXR,Bacterial,32.01409430795381,0.8940749764442444,0.911230742931366,0.2535785436630249
SharpXR,Bacterial,31.80319718067392,0.8640909194946289,0.9093046188354492,0.22153669595718384
SharpXR,Bacterial,33.53182418822164,0.8959264755249023,0.9184203743934631,0.23382686078548431
SharpXR,Bacterial,32.91785793587694,0.9111972451210022,0.9267846941947937,0.2741854190826416
SharpXR,Bacterial,34.26778723235302,0.9121779203414917,0.9214487671852112,0.27948665618896484
SharpXR,Bacterial,35.13344821033801,0.9205114245414734,0.9276067018508911,0.24771267175674438
SharpXR,Bacterial,33.46991039470775,0.9127749800682068,0.9248356819152832,0.2712780237197876
