arm,noise_level,psnr
ircnn,low,35.3873
ircnn,low,35.7025
ircnn,low,33.6734
ircnn,low,35.0558
ircnn,low,34.1488
ircnn,low,33.8283
ircnn,low,33.5586
ircnn,low,35.9022
ircnn,low,36.0165
ircnn,low,34.4542
ircnn,low,33.6055
ircnn,low,35.3952
ircnn,low,34.3969
ircnn,low,35.7329
ircnn,low,35.5766
ircnn,low,35.9101
ircnn,low,35.8726
ircnn,low,33.9745
ircnn,low,37.0053
ircnn,low,36.5615
ircnn,low,34.5171
ircnn,low,34.5844
ircnn,low,33.8068
ircnn,low,35.9772
ircnn,low,35.2028
ircnn,low,35.2327
ircnn,low,35.1197
ircnn,low,36.9508
ircnn,low,35.1945
ircnn,low,35.1612
ircnn,low,34.4137
ircnn,low,33.487
ircnn,low,34.8384
ircnn,low,35.8745
ircnn,low,33.8762
ircnn,low,36.5183
ircnn,low,35.5078
ircnn,low,36.9533
ircnn,low,35.7431
ircnn,low,35.9656
ircnn,low,35.253
ircnn,low,35.6874
ircnn,low,34.861
ircnn,low,35.0449
ircnn,low,35.5867
ircnn,low,35.4845
ircnn,low,35.8817
ircnn,low,37.4647
ircnn,low,37.0023
ircnn,low,36.4469
ircnn,low,34.2479
ircnn,low,36.4732
ircnn,low,36.8302
ircnn,low,36.1592
ircnn,low,34.9328
ircnn,low,35.5885
ircnn,low,34.8555
ircnn,low,34.441
ircnn,low,36.6007
ircnn,low,34.2396
ircnn,low,35.3966
ircnn,low,34.5827
ircnn,low,34.1164
ircnn,low,36.0248
ircnn,low,36.1761
ircnn,low,35.5129
ircnn,low,35.7474
ircnn,low,35.6974
ircnn,low,36.5809
ircnn,low,36.3011
ircnn,low,34.2742
ircnn,low,34.8979
ircnn,low,33.7782
ircnn,low,34.7983
ircnn,low,36.314
ircnn,low,34.8515
ircnn,low,36.4537
ircnn,low,33.3952
ircnn,low,36.2081
ircnn,low,36.3873
ircnn,low,36.7874
ircnn,low,35.1638
ircnn,low,35.1446
ircnn,low,34.4007
ircnn,low,36.3088
ircnn,low,35.1042
ircnn,low,36.0353
ircnn,low,35.4068
ircnn,low,35.5801
ircnn,low,35.2849
ircnn,low,36.2783
ircnn,low,35.4747
ircnn,low,34.5795
ircnn,low,35.0475
ircnn,low,33.2855
ircnn,low,34.7092
ircnn,low,33.7678
ircnn,low,34.586
ircnn,low,34.7966
ircnn,low,34.904
ircnn,low,35.6971
ircnn,low,36.4588
ircnn,low,35.1361
ircnn,low,34.2954
ircnn,low,35.6562
ircnn,low,35.4938
ircnn,low,35.3913
ircnn,low,35.9352
ircnn,low,35.3593
ircnn,low,34.7139
ircnn,low,35.5237
ircnn,low,35.5244
ircnn,low,34.7241
ircnn,low,34.5836
ircnn,low,35.0405
