model,class,psnr,ssim,lpips
SCUNet,Normal,35.237867775841366,0.9360989928245544,0.17910191416740417
A (L2),Normal,34.608528721080035,0.9025572538375854,0.22247552871704102
D (NLL+SSIM+FFL),Normal,33.71448861081515,0.8853187561035156,0.26516714692115784
H (PP-VAE),Normal,33.271422786809886,0.8760484457015991,0.2983818054199219
DnCNN,Normal,33.17074835761924,0.8694815039634705,0.2955678105354309
SCUNet,Normal,34.69251749265011,0.9039449095726013,0.21761727333068848
A (L2),Normal,34.367356466124306,0.9146562814712524,0.19736997783184052
D (NLL+SSIM+FFL),Normal,33.13992209791922,0.8921095728874207,0.24892602860927582
H (PP-VAE),Normal,32.21288480681823,0.8754876852035522,0.28695839643478394
DnCNN,Normal,32.29053300775038,0.8732888698577881,0.2751167416572571
SCUNet,Normal,34.4646050951078,0.9161902666091919,0.19434207677841187
